run_id,run,method,seed,target_module,dM_quantization,dM_adapter,dM_total,dD_quantization,dD_adapter,dD_total,dM_quant_share,dD_quant_share
qdora-seed42-fp32,QDoRA-fp32 (seed 42),QDoRA-fp32,42,down_proj,0.00121551575527216,0.008960870152805,0.009013108889727542,0.004324293540169795,0.0017715929619347055,0.006087356576851259,0.1348608754363894,0.7103729649440998
qdora-seed42-fp32,QDoRA-fp32 (seed 42),QDoRA-fp32,42,k_proj,0.003331549232825637,0.007125492071888099,0.00804343685740605,0.004702268711601694,0.0006407021573977545,0.00533987160694475,0.4141947393741383,0.880595837826171
qdora-seed42-fp32,QDoRA-fp32 (seed 42),QDoRA-fp32,42,q_proj,0.002136389802520474,0.007502917607780546,0.007907538131500283,0.004583859428142508,0.0011108435671000432,0.0056894981147100525,0.27017129313736743,0.8056702604911768
qdora-seed42-fp32,QDoRA-fp32 (seed 42),QDoRA-fp32,42,up_proj,0.0011522482576159139,0.008889839169569314,0.00896030169678852,0.004307945957407355,0.0024825583435206986,0.006779115123208612,0.1285948059124944,0.6354731965915292
qdora-seed42-fp32,QDoRA-fp32 (seed 42),QDoRA-fp32,42,v_proj,0.0008131365854448328,0.008199814842858663,0.008221485399796316,0.004422116093337536,0.0034143891340742507,0.00782084024588888,0.09890385324590832,0.565427237266747
qdora-seed43-fp32,QDoRA-fp32 (seed 43),QDoRA-fp32,43,down_proj,0.00121551575527216,0.009038075416659316,0.009093616507016122,0.004324293540169795,0.0017925539674858253,0.006108217096577088,0.1336669249615196,0.7079469298157453
qdora-seed43-fp32,QDoRA-fp32 (seed 43),QDoRA-fp32,43,k_proj,0.003331549232825637,0.0071500456930759055,0.008014923078007996,0.004702268711601694,0.0006594103445725826,0.005358717811759561,0.4156682728455642,0.8774988489378359
qdora-seed43-fp32,QDoRA-fp32 (seed 43),QDoRA-fp32,43,q_proj,0.002136389802520474,0.007508653254869084,0.00790669561441367,0.004583859428142508,0.0011246136151991475,0.005703667372775574,0.2702000818933638,0.8036687851086703
qdora-seed43-fp32,QDoRA-fp32 (seed 43),QDoRA-fp32,43,up_proj,0.0011522482576159139,0.008876876071250686,0.008946660226987055,0.004307945957407355,0.0024640342550507435,0.006760658094814668,0.12879088155602772,0.6372080790051328
qdora-seed43-fp32,QDoRA-fp32 (seed 43),QDoRA-fp32,43,v_proj,0.0008131365854448328,0.008205149342150738,0.0082347749460799,0.004422116093337536,0.003310105161896596,0.0077166138410878675,0.09874423900703201,0.5730643238607516
qlora-seed42,QLoRA (seed 42),QLoRA,42,down_proj,0.00121551575527216,0.0022129739372758195,0.0023479698963152864,0.004324293540169795,0.0017930240865098312,0.006108511452718328,0.5176879640491524,0.7079128153628093
qlora-seed42,QLoRA (seed 42),QLoRA,42,k_proj,0.003331549232825637,0.0009425189321821866,0.003617437915333236,0.004702268711601694,0.0006504829580080695,0.005348418606445193,0.9209692911947976,0.8791886083739133
qlora-seed42,QLoRA (seed 42),QLoRA,42,q_proj,0.002136389802520474,0.0010596168043169503,0.0025439310799508044,0.004583859428142508,0.0011288009021275987,0.005706431751605123,0.8397986169349322,0.8032794621355359
qlora-seed42,QLoRA (seed 42),QLoRA,42,up_proj,0.0011522482576159139,0.0016633653916263331,0.0019022278041423608,0.004307945957407355,0.0024727347384517393,0.006769679273323466,0.605736208411388,0.6363589445637707
qlora-seed42,QLoRA (seed 42),QLoRA,42,v_proj,0.0008131365854448328,0.0014015661048082013,0.0016211811986674245,0.004422116093337536,0.003310312458779663,0.007717059459537268,0.5015704512939166,0.5730312324952199
qlora-seed43,QLoRA (seed 43),QLoRA,43,down_proj,0.00121551575527216,0.002272669255034998,0.0024012729312138013,0.004324293540169795,0.0018363657921630268,0.006151420859775196,0.5061964175216593,0.7029747498576819
qlora-seed43,QLoRA (seed 43),QLoRA,43,k_proj,0.003331549232825637,0.0009521215688437223,0.0036297581682447344,0.004702268711601694,0.000649772419516618,0.005348771015026917,0.9178433048162808,0.879130682242906
qlora-seed43,QLoRA (seed 43),QLoRA,43,q_proj,0.002136389802520474,0.0010861446280614473,0.0025530137645546347,0.004583859428142508,0.0011390584550099447,0.0057176772388629615,0.8368109221272297,0.8016995777561713
qlora-seed43,QLoRA (seed 43),QLoRA,43,up_proj,0.0011522482576159139,0.0016605807419788714,0.0018975876591866836,0.004307945957407355,0.002479066296170155,0.0067759741214104,0.6072174068152265,0.6357677700974851
qlora-seed43,QLoRA (seed 43),QLoRA,43,v_proj,0.0008131365854448328,0.001442427213381355,0.0016564953451355298,0.004422116093337536,0.0033587020103974887,0.0077631895352775855,0.4908776760723733,0.5696261920751128
