run_id,run,method,seed,snapshot,step,checkpoint_fraction,layer,target_module,quantized_base,delta_direction,delta_magnitude_paper,delta_magnitude_rel,coefficient_update_rel,effective_weight_update_rel,quant_delta_direction,total_delta_direction,quant_delta_magnitude_paper,quant_delta_magnitude_rel,total_delta_magnitude_paper,total_delta_magnitude_rel
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.25_step_7989,7989,0.25,5,v_proj,False,0.0106507558375597,0.006187718827277422,0.017376983538269997,0.1424000859260559,0.1419154703617096,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.5_step_15978,15978,0.5,0,down_proj,False,0.0105180274695158,0.008304756134748459,0.008296781219542027,0.14450892806053162,0.1433953195810318,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.5_step_15978,15978,0.5,1,down_proj,False,0.008679023943841457,0.008077115751802921,0.008049768395721912,0.13291886448860168,0.13150377571582794,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.5_step_15978,15978,0.5,2,down_proj,False,0.009266255423426628,0.008198155090212822,0.008083590306341648,0.13686200976371765,0.1360168159008026,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.5_step_15978,15978,0.5,3,down_proj,False,0.00991910696029663,0.00834710244089365,0.008391493000090122,0.14123782515525818,0.1402561515569687,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.5_step_15978,15978,0.5,4,down_proj,False,0.009233884513378143,0.008291169069707394,0.008550339378416538,0.13607172667980194,0.1352713704109192,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.5_step_15978,15978,0.5,5,down_proj,False,0.008763759396970272,0.008280417881906033,0.008547540754079819,0.13209174573421478,0.13131959736347198,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.5_step_15978,15978,0.5,0,k_proj,False,0.006232288666069508,0.007397501263767481,0.005594114772975445,0.08802107721567154,0.08713503926992416,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.5_step_15978,15978,0.5,1,k_proj,False,0.001686569768935442,0.0059427423402667046,0.004715126473456621,0.04614584892988205,0.046306733042001724,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.5_step_15978,15978,0.5,2,k_proj,False,0.002843508729711175,0.006911573465913534,0.00513208145275712,0.05555730313062668,0.05562209337949753,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.5_step_15978,15978,0.5,3,k_proj,False,0.002128844615072012,0.007182477042078972,0.005319096148014069,0.05586555600166321,0.05600834637880325,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.5_step_15978,15978,0.5,4,k_proj,False,0.0018963883630931377,0.00700866524130106,0.005351339466869831,0.054097309708595276,0.0542440190911293,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.5_step_15978,15978,0.5,5,k_proj,False,0.003560626646503806,0.007684670388698578,0.00576826324686408,0.06619423627853394,0.06618300080299377,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.5_step_15978,15978,0.5,0,q_proj,False,0.009144608862698078,0.007233028765767813,0.00815540086477995,0.10264226794242859,0.10181120783090591,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.5_step_15978,15978,0.5,1,q_proj,False,0.004069843795150518,0.006291611585766077,0.007061106618493795,0.07013456523418427,0.07023743540048599,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.5_step_15978,15978,0.5,2,q_proj,False,0.005624088458716869,0.007097348570823669,0.008114747703075409,0.0828055590391159,0.08275505900382996,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.5_step_15978,15978,0.5,3,q_proj,False,0.0045763663947582245,0.007227527443319559,0.00821568351238966,0.08276782929897308,0.08285219222307205,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.5_step_15978,15978,0.5,4,q_proj,False,0.0048719290643930435,0.007310069631785154,0.008409533649682999,0.08252278715372086,0.08254749327898026,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.5_step_15978,15978,0.5,5,q_proj,False,0.006219237111508846,0.007688228040933609,0.008892220444977283,0.08657088130712509,0.08654049038887024,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.5_step_15978,15978,0.5,0,up_proj,False,0.014543379656970501,0.008140378631651402,0.01519389171153307,0.17224912345409393,0.170828178524971,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.5_step_15978,15978,0.5,1,up_proj,False,0.014016186818480492,0.008224260993301868,0.01505684107542038,0.1691541075706482,0.16775020956993103,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.5_step_15978,15978,0.5,2,up_proj,False,0.014419673942029476,0.00804767943918705,0.014881858602166176,0.1716640591621399,0.1700480729341507,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.5_step_15978,15978,0.5,3,up_proj,False,0.013938570395112038,0.008109699003398418,0.015320858918130398,0.16874440014362335,0.16731330752372742,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.5_step_15978,15978,0.5,4,up_proj,False,0.012224622070789337,0.008205311372876167,0.015870409086346626,0.15752489864826202,0.15664121508598328,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.5_step_15978,15978,0.5,5,up_proj,False,0.011952385306358337,0.008299234323203564,0.015854738652706146,0.15559840202331543,0.15475994348526,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.5_step_15978,15978,0.5,0,v_proj,False,0.016042837873101234,0.008197396993637085,0.025166550651192665,0.17848503589630127,0.177121102809906,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.5_step_15978,15978,0.5,1,v_proj,False,0.014166153967380524,0.007813182659447193,0.01971706934273243,0.16264866292476654,0.1615491360425949,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.5_step_15978,15978,0.5,2,v_proj,False,0.024964788928627968,0.007698000408709049,0.023227963596582413,0.20729565620422363,0.2034424990415573,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.5_step_15978,15978,0.5,3,v_proj,False,0.01566932164132595,0.008047378621995449,0.020289788022637367,0.17349517345428467,0.17203649878501892,,,,,,
